Item,Variant,Clause 1,Clause 2,Sentence,Group,Voice1,Voice2,Ellipsis,Mismatch,VoiceE
1,[P → A],Mary was scolded by her father,and then her mother did too,"Mary was scolded by her father, and then her mother did too.",A,Passive,Active,TRUE,TRUE,Active
,[A → P],Mary’s father scolded her,and then her sister was too,"Mary’s father scolded her, and then her sister was too.",B,Active,Passive,TRUE,TRUE,Passive
,[A → A],Mary’s father scolded her,and then her mother did too,"Mary’s father scolded her, and then her mother did too.",C,Active,Active,TRUE,FALSE,Active
,[P → P],Mary was scolded by her father,and then her sister was too,"Mary was scolded by her father, and then her sister was too.",D,Passive,Passive,TRUE,FALSE,Passive
,[P → A],Mary was scolded by her father,and then her mother scolded her too,"Mary was scolded by her father, and then her mother scolded her too.",E,Passive,Active,FALSE,TRUE,<NA>
,[A → P],Mary’s father scolded her,and then her sister was scolded too,"Mary’s father scolded her, and then her sister was scolded too.",F,Active,Passive,FALSE,TRUE,<NA>
,[A → A],Mary’s father scolded her,and then her mother scolded her too,"Mary’s father scolded her, and then her mother scolded her too.",G,Active,Active,FALSE,FALSE,<NA>
,[P → P],Mary was scolded by her father,and then her sister was scolded too,"Mary was scolded by her father, and then her sister was scolded too.",H,Passive,Passive,FALSE,FALSE,<NA>
2,[P → A],The report was first read by the judge,and then the lawyer did too,"The report was first read by the judge, and then the lawyer did too.",B,Passive,Active,TRUE,TRUE,Active
,[A → P],The judge read the report first,and then the confession was too,"The judge read the report first, and then the confession was too.",C,Active,Passive,TRUE,TRUE,Passive
,[A → A],The judge read the report first,and then the lawyer did too,"The judge read the report first, and then the lawyer did too.",D,Active,Active,TRUE,FALSE,Active
,[P → P],The report was first read by the judge,and then the confession was too,"The report was first read by the judge, and then the confession was too.",E,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The report was first read by the judge,and then the lawyer read it too,"The report was first read by the judge, and then the lawyer read it too.",F,Passive,Active,FALSE,TRUE,<NA>
,[A → P],The judge read the report first,and then the confession was read too,"The judge read the report first, and then the confession was read too.",G,Active,Passive,FALSE,TRUE,<NA>
,[A → A],The judge read the report first,and then the lawyer read it too,"The judge read the report first, and then the lawyer read it too.",H,Active,Active,FALSE,FALSE,<NA>
,[P → P],The report was first read by the judge,and then the confession was read too,"The report was first read by the judge, and then the confession was read too.",A,Passive,Passive,FALSE,FALSE,<NA>
3,[P → A],The fireman was first praised by the Mayor,and today the President did too,"The fireman was first praised by the Mayor, and today the President did too.",C,Passive,Active,TRUE,TRUE,Active
,[A → P],The Mayor first praised the fireman,and then the policeman was too,"The Mayor first praised the fireman, and then the policeman was too.",D,Active,Passive,TRUE,TRUE,Passive
,[A → A],The Mayor first praised the fireman,and today the President did too,"The Mayor first praised the fireman, and today the President did too.",E,Active,Active,TRUE,FALSE,Active
,[P → P],The fireman was first praised by the Mayor,and then the policeman was too,"The fireman was first praised by the Mayor, and then the policeman was too.",F,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The fireman was first praised by the Mayor,and today the President praised him too,"The fireman was first praised by the Mayor, and today the President praised him too.",G,Passive,Active,FALSE,TRUE,<NA>
,[A → P],The Mayor first praised the fireman,and then the policeman was praised too,"The Mayor first praised the fireman, and then the policeman was praised too.",H,Active,Passive,FALSE,TRUE,<NA>
,[A → A],The Mayor first praised the fireman,and today the President praised him too,"The Mayor first praised the fireman, and today the President praised him too.",A,Active,Active,FALSE,FALSE,<NA>
,[P → P],The fireman was first praised by the Mayor,and then the policeman was praised too,"The fireman was first praised by the Mayor, and then the policeman was praised too.",B,Passive,Passive,FALSE,FALSE,<NA>
4,[P → A],The winner was hugged by the talk-show host,and the announcer did too,"The winner was hugged by the talk-show host, and the announcer did too.",D,Passive,Active,TRUE,TRUE,Active
,[A → P],The talk-show host hugged the winner,and the loser was too,"The talk-show host hugged the winner, and the loser was too.",E,Active,Passive,TRUE,TRUE,Passive
,[A → A],The talk-show host hugged the winner,and the announcer did too,"The talk-show host hugged the winner, and the announcer did too.",F,Active,Active,TRUE,FALSE,Active
,[P → P],The winner was hugged by the talk-show host,and the loser was too,"The winner was hugged by the talk-show host, and the loser was too.",G,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The winner was hugged by the talk-show host,and the announcer hugged him too,"The winner was hugged by the talk-show host, and the announcer hugged him too.",H,Passive,Active,FALSE,TRUE,<NA>
,[A → P],The talk-show host hugged the winner,and the loser was hugged too,"The talk-show host hugged the winner, and the loser was hugged too.",A,Active,Passive,FALSE,TRUE,<NA>
,[A → A],The talk-show host hugged the winner,and the announcer hugged him too,"The talk-show host hugged the winner, and the announcer hugged him too.",B,Active,Active,FALSE,FALSE,<NA>
,[P → P],The winner was hugged by the talk-show host,and the loser was hugged too,"The winner was hugged by the talk-show host, and the loser was hugged too.",C,Passive,Passive,FALSE,FALSE,<NA>
5,[P → A],The student was praised by the old schoolmaster,and the advisor did too,"The student was praised by the old schoolmaster, and the advisor did too.",E,Passive,Active,TRUE,TRUE,Active
,[A → P],The old schoolmaster praised the student,and the Teaching Assistant was too,"The old schoolmaster praised the student, and the Teaching Assistant was too.",F,Active,Passive,TRUE,TRUE,Passive
,[A → A],The old schoolmaster praised the student,and the advisor did too,"The old schoolmaster praised the student, and the advisor did too.",G,Active,Active,TRUE,FALSE,Active
,[P → P],The student was praised by the old schoolmaster,and the Teaching Assistant was too,"The student was praised by the old schoolmaster, and the Teaching Assistant was too.",H,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The student was praised by the old schoolmaster,and the advisor praised her too,"The student was praised by the old schoolmaster, and the advisor praised her too.",A,Passive,Active,FALSE,TRUE,<NA>
,[A → P],The old schoolmaster praised the student,and the Teaching Assistant was praised too,"The old schoolmaster praised the student, and the Teaching Assistant was praised too.",B,Active,Passive,FALSE,TRUE,<NA>
,[A → A],The old schoolmaster praised the student,and the advisor praised her too,"The old schoolmaster praised the student, and the advisor praised her too.",C,Active,Active,FALSE,FALSE,<NA>
,[P → P],The student was praised by the old schoolmaster,and the Teaching Assistant was praised too,"The student was praised by the old schoolmaster, and the Teaching Assistant was praised too.",D,Passive,Passive,FALSE,FALSE,<NA>
6,[P → A],Mary was given French classes by her French grandmother,and her French aunt did too,"Mary was given French classes by her French grandmother, and her French aunt did too.",F,Passive,Active,TRUE,TRUE,Active
,[A → P],Mary’s French grandmother gave her French classes,and her sister was too,"Mary’s French grandmother gave her French classes, and her sister was too.",G,Active,Passive,TRUE,TRUE,Passive
,[A → A],Mary’s French grandmother gave her French classes,and her French aunt did too,"Mary’s French grandmother gave her French classes, and her French aunt did too.",H,Active,Active,TRUE,FALSE,Active
,[P → P],Mary was given French classes by her French grandmother,and her sister was too,"Mary was given French classes by her French grandmother, and her sister was too.",A,Passive,Passive,TRUE,FALSE,Passive
,[P → A],Mary was given French classes by her French grandmother,and her French aunt gave her French classes too,"Mary was given French classes by her French grandmother, and her French aunt gave her French classes too.",B,Passive,Active,FALSE,TRUE,<NA>
,[A → P],Mary’s French grandmother gave her French classes,and her sister was given French classes too,"Mary’s French grandmother gave her French classes, and her sister was given French classes too.",C,Active,Passive,FALSE,TRUE,<NA>
,[A → A],Mary’s French grandmother gave her French classes,and her French aunt gave her French classes too,"Mary’s French grandmother gave her French classes, and her French aunt gave her French classes too.",D,Active,Active,FALSE,FALSE,<NA>
,[P → P],Mary was given French classes by her French grandmother,and her sister was given French classes too,"Mary was given French classes by her French grandmother, and her sister was given French classes too.",E,Passive,Passive,FALSE,FALSE,<NA>
7,[P → A],Susan was offered a loan by the bank,and the credit union did too,"Susan was offered a loan by the bank, and the credit union did too.",G,Passive,Active,TRUE,TRUE,Active
,[A → P],Susan’s bank offered her a loan,and her sisters were too,"Susan’s bank offered her a loan, and her sisters were too.",H,Active,Passive,TRUE,TRUE,Passive
,[A → A],Susan’s bank offered her a loan,and the credit union did too,"Susan’s bank offered her a loan, and the credit union did too.",A,Active,Active,TRUE,FALSE,Active
,[P → P],Susan was offered a loan by the bank,and her sisters were too,"Susan was offered a loan by the bank, and her sisters were too.",B,Passive,Passive,TRUE,FALSE,Passive
,[P → A],Susan was offered a loan by the bank,and the credit union offered her a loan too,"Susan was offered a loan by the bank, and the credit union offered her a loan too.",C,Passive,Active,FALSE,TRUE,<NA>
,[A → P],Susan’s bank offered her a loan,and her sisters were offered a loan too,"Susan’s bank offered her a loan, and her sisters were offered a loan too.",D,Active,Passive,FALSE,TRUE,<NA>
,[A → A],Susan’s bank offered her a loan,and the credit union offered her a loan too,"Susan’s bank offered her a loan, and the credit union offered her a loan too.",E,Active,Active,FALSE,FALSE,<NA>
,[P → P],Susan was offered a loan by the bank,and her sisters were offered a loan too,"Susan was offered a loan by the bank, and her sisters were offered a loan too.",F,Passive,Passive,FALSE,FALSE,<NA>
8,[P → A],The witness was surprised by the policeman’s question,and the lawyer did too,"The witness was surprised by the policeman’s question, and the lawyer did too.",H,Passive,Active,TRUE,TRUE,Active
,[A → P],The policeman’s question surprised the witness,and the accused was too,"The policeman’s question surprised the witness, and the accused was too.",A,Active,Passive,TRUE,TRUE,Passive
,[A → A],The policeman’s question surprised the witness,and the lawyer did too,"The policeman’s question surprised the witness, and the lawyer did too.",B,Active,Active,TRUE,FALSE,Active
,[P → P],The witness was surprised by the policeman’s question,and the accused was too,"The witness was surprised by the policeman’s question, and the accused was too.",C,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The witness was surprised by the policeman’s question,and the lawyer surprised him too,"The witness was surprised by the policeman’s question, and the lawyer surprised him too.",D,Passive,Active,FALSE,TRUE,<NA>
,[A → P],The policeman’s question surprised the witness,and the accused was surprised too,"The policeman’s question surprised the witness, and the accused was surprised too.",E,Active,Passive,FALSE,TRUE,<NA>
,[A → A],The policeman’s question surprised the witness,and the lawyer surprised him too,"The policeman’s question surprised the witness, and the lawyer surprised him too.",F,Active,Active,FALSE,FALSE,<NA>
,[P → P],The witness was surprised by the policeman’s question,and the accused was surprised too,"The witness was surprised by the policeman’s question, and the accused was surprised too.",G,Passive,Passive,FALSE,FALSE,<NA>
9,[P → A],The autoworkers were exploited by the local business,and the big corporations did too,"The autoworkers were exploited by the local business, and the big corporations did too.",A,Passive,Active,TRUE,TRUE,Active
,[A → P],The local business exploited the autoworkers,and the metal workers were too,"The local business exploited the autoworkers, and the metal workers were too.",B,Active,Passive,TRUE,TRUE,Passive
,[A → A],The local business exploited the autoworkers,and the big corporations did too,"The local business exploited the autoworkers, and the big corporations did too.",C,Active,Active,TRUE,FALSE,Active
,[P → P],The autoworkers were exploited by the local business,and the metal workers were too,"The autoworkers were exploited by the local business, and the metal workers were too.",D,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The autoworkers were exploited by the local business,and the big corporations exploited them too,"The autoworkers were exploited by the local business, and the big corporations exploited them too.",E,Passive,Active,FALSE,TRUE,<NA>
,[A → P],The local business exploited the autoworkers,and the metal workers were exploited too,"The local business exploited the autoworkers, and the metal workers were exploited too.",F,Active,Passive,FALSE,TRUE,<NA>
,[A → A],The local business exploited the autoworkers,and the big corporations exploited them too,"The local business exploited the autoworkers, and the big corporations exploited them too.",G,Active,Active,FALSE,FALSE,<NA>
,[P → P],The autoworkers were exploited by the local business,and the metal workers were exploited too,"The autoworkers were exploited by the local business, and the metal workers were exploited too.",H,Passive,Passive,FALSE,FALSE,<NA>
10,[P → A],The Mayor was interviewed by the newspapers,and the TV networks did too,"The Mayor was interviewed by the newspapers, and the TV networks did too.",B,Passive,Active,TRUE,TRUE,Active
,[A → P],The newspaper interviewed the Mayor,and the Chief of Police was too,"The newspaper interviewed the Mayor, and the Chief of Police was too.",C,Active,Passive,TRUE,TRUE,Passive
,[A → A],The newspaper interviewed the Mayor,and the TV networks did too,"The newspaper interviewed the Mayor, and the TV networks did too.",D,Active,Active,TRUE,FALSE,Active
,[P → P],The Mayor was interviewed by the newspapers,and the Chief of Police was too,"The Mayor was interviewed by the newspapers, and the Chief of Police was too.",E,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The Mayor was interviewed by the newspapers,and the TV networks interviewed him too,"The Mayor was interviewed by the newspapers, and the TV networks interviewed him too.",F,Passive,Active,FALSE,TRUE,<NA>
,[A → P],The newspaper interviewed the Mayor,and the Chief of Police was interviewed too,"The newspaper interviewed the Mayor, and the Chief of Police was interviewed too.",G,Active,Passive,FALSE,TRUE,<NA>
,[A → A],The newspaper interviewed the Mayor,and the TV networks interviewed him too,"The newspaper interviewed the Mayor, and the TV networks interviewed him too.",H,Active,Active,FALSE,FALSE,<NA>
,[P → P],The Mayor was interviewed by the newspapers,and the Chief of Police was interviewed too,"The Mayor was interviewed by the newspapers, and the Chief of Police was interviewed too.",A,Passive,Passive,FALSE,FALSE,<NA>
11,[P → A],The suspect was questioned by the police,and the lawyer did too,"The suspect was questioned by the police, and the lawyer did too.",C,Passive,Active,TRUE,TRUE,Active
,[A → P],The police questioned the suspect,and the witness was too,"The police questioned the suspect, and the witness was too.",D,Active,Passive,TRUE,TRUE,Passive
,[A → A],The police questioned the suspect,and the lawyer did too,"The police questioned the suspect, and the lawyer did too.",E,Active,Active,TRUE,FALSE,Active
,[P → P],The suspect was questioned by the police,and the witness was too,"The suspect was questioned by the police, and the witness was too.",F,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The suspect was questioned by the police,and the lawyer questioned him too,"The suspect was questioned by the police, and the lawyer questioned him too.",G,Passive,Active,FALSE,TRUE,<NA>
,[A → P],The police questioned the suspect,and the witness was questioned too,"The police questioned the suspect, and the witness was questioned too.",H,Active,Passive,FALSE,TRUE,<NA>
,[A → A],The police questioned the suspect,and the lawyer questioned him too,"The police questioned the suspect, and the lawyer questioned him too.",A,Active,Active,FALSE,FALSE,<NA>
,[P → P],The suspect was questioned by the police,and the witness was questioned too,"The suspect was questioned by the police, and the witness was questioned too.",B,Passive,Passive,FALSE,FALSE,<NA>
12,[P → A],The doctor was blamed by the child’s parents,and the insurance company did too,"The doctor was blamed by the child’s parents, and the insurance company did too.",D,Passive,Active,TRUE,TRUE,Active
,[A → P],The child’s parents blamed the doctor,and the head nurse was too,"The child’s parents blamed the doctor, and the head nurse was too.",E,Active,Passive,TRUE,TRUE,Passive
,[A → A],The child’s parents blamed the doctor,and the insurance company did too,"The child’s parents blamed the doctor, and the insurance company did too.",F,Active,Active,TRUE,FALSE,Active
,[P → P],The doctor was blamed by the child’s parents,and the head nurse was too,"The doctor was blamed by the child’s parents, and the head nurse was too.",G,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The doctor was blamed by the child’s parents,and the insurance company blamed him too,"The doctor was blamed by the child’s parents, and the insurance company blamed him too.",H,Passive,Active,FALSE,TRUE,<NA>
,[A → P],The child’s parents blamed the doctor,and the head nurse was blamed too,"The child’s parents blamed the doctor, and the head nurse was blamed too.",A,Active,Passive,FALSE,TRUE,<NA>
,[A → A],The child’s parents blamed the doctor,and the insurance company blamed him too,"The child’s parents blamed the doctor, and the insurance company blamed him too.",B,Active,Active,FALSE,FALSE,<NA>
