Item,Variant,Clause 1,Clause 2,Sentence,Group,Voice1,Voice2,Ellipsis,Mismatch,VoiceE
,[P → P],The doctor was blamed by the child’s parents,and the head nurse was blamed too,"The doctor was blamed by the child’s parents, and the head nurse was blamed too.",C,Passive,Passive,FALSE,FALSE,<NA>
13,[P → A],The new girl was pushed again by Bill,after John did already,The new girl was pushed again by Bill after John did already.,E,Passive,Active,TRUE,TRUE,Active
,[A → P],Bill pushed the new girl again,after Jill was already,Bill pushed the new girl again after Jill was already.,F,Active,Passive,TRUE,TRUE,Passive
,[A → A],Bill pushed the new girl again,after John did already,Bill pushed the new girl again after John did already.,G,Active,Active,TRUE,FALSE,Active
,[P → P],The new girl was pushed again by Bill,after Jill was already,The new girl was pushed again by Bill after Jill was already.,H,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The new girl was pushed again by Bill,after John pushed her already,The new girl was pushed again by Bill after John pushed her already.,A,Passive,Active,FALSE,TRUE,<NA>
,[A → P],Bill pushed the new girl again,after Jill was pushed already,Bill pushed the new girl again after Jill was pushed already.,B,Active,Passive,FALSE,TRUE,<NA>
,[A → A],Bill pushed the new girl again,after John pushed her already,Bill pushed the new girl again after John pushed her already.,C,Active,Active,FALSE,FALSE,<NA>
,[P → P],The new girl was pushed again by Bill,after Jill was pushed already,The new girl was pushed again by Bill after Jill was pushed already.,D,Passive,Passive,FALSE,FALSE,<NA>
14,[P → A],The student was questioned by Customs,after Immigration did previously,The student was questioned by Customs after Immigration did previously.,F,Passive,Active,TRUE,TRUE,Active
,[A → P],Customs questioned the student,after his friend was previously,Customs questioned the student after his friend was previously.,G,Active,Passive,TRUE,TRUE,Passive
,[A → A],Customs questioned the student,after Immigration did previously,Customs questioned the student after Immigration did previously.,H,Active,Active,TRUE,FALSE,Active
,[P → P],The student was questioned by Customs,after his friend was previously,The student was questioned by Customs after his friend was previously.,A,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The student was questioned by Customs,after Immigration questioned her previously,The student was questioned by Customs after Immigration questioned her previously.,B,Passive,Active,FALSE,TRUE,<NA>
,[A → P],Customs questioned the student,after his friend was questioned previously,Customs questioned the student after his friend was questioned previously.,C,Active,Passive,FALSE,TRUE,<NA>
,[A → A],Customs questioned the student,after Immigration questioned her previously,Customs questioned the student after Immigration questioned her previously.,D,Active,Active,FALSE,FALSE,<NA>
,[P → P],The student was questioned by Customs,after his friend was questioned previously,The student was questioned by Customs after his friend was questioned previously.,E,Passive,Passive,FALSE,FALSE,<NA>
15,[P → A],The accountant was investigated by the IRS on Tuesday,after the police did on Monday,The accountant was investigated by the IRS on Tuesday after the police did on Monday.,G,Passive,Active,TRUE,TRUE,Active
,[A → P],The IRS investigated the accountant on Tuesday,after the CEO was on Monday,The IRS investigated the accountant on Tuesday after the CEO was on Monday.,H,Active,Passive,TRUE,TRUE,Passive
,[A → A],The IRS investigated the accountant on Tuesday,after the police did on Monday,The IRS investigated the accountant on Tuesday after the police did on Monday.,A,Active,Active,TRUE,FALSE,Active
,[P → P],The accountant was investigated by the IRS on Tuesday,after the CEO was on Monday,The accountant was investigated by the IRS on Tuesday after the CEO was on Monday.,B,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The accountant was investigated by the IRS on Tuesday,after the police investigated him on Monday,The accountant was investigated by the IRS on Tuesday after the police investigated him on Monday.,C,Passive,Active,FALSE,TRUE,<NA>
,[A → P],The IRS investigated the accountant on Tuesday,after the CEO was investigated on Monday,The IRS investigated the accountant on Tuesday after the CEO was investigated on Monday.,D,Active,Passive,FALSE,TRUE,<NA>
,[A → A],The IRS investigated the accountant on Tuesday,after the police investigated him on Monday,The IRS investigated the accountant on Tuesday after the police investigated him on Monday.,E,Active,Active,FALSE,FALSE,<NA>
,[P → P],The accountant was investigated by the IRS on Tuesday,after the CEO was investigated on Monday,The accountant was investigated by the IRS on Tuesday after the CEO was investigated on Monday.,F,Passive,Passive,FALSE,FALSE,<NA>
16,[P → A],The volleyball team was beaten by the Cubans,after the Germans did previously,The volleyball team was beaten by the Cubans after the Germans did previously.,H,Passive,Active,TRUE,TRUE,Active
,[A → P],The Cubans beat the volleyball team,after the tennis team was previously,The Cubans beat the volleyball team after the tennis team was previously.,A,Active,Passive,TRUE,TRUE,Passive
,[A → A],The Cubans beat the volleyball team,after the Germans did previously,The Cubans beat the volleyball team after the Germans did previously.,B,Active,Active,TRUE,FALSE,Active
,[P → P],The volleyball team was beaten by the Cubans,after the tennis team was previously,The volleyball team was beaten by the Cubans after the tennis team was previously.,C,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The volleyball team was beaten by the Cubans,after the Germans beat them previously,The volleyball team was beaten by the Cubans after the Germans beat them previously.,D,Passive,Active,FALSE,TRUE,<NA>
,[A → P],The Cubans beat the volleyball team,after the tennis team was beaten previously,The Cubans beat the volleyball team after the tennis team was beaten previously.,E,Active,Passive,FALSE,TRUE,<NA>
,[A → A],The Cubans beat the volleyball team,after the Germans beat them previously,The Cubans beat the volleyball team after the Germans beat them previously.,F,Active,Active,FALSE,FALSE,<NA>
,[P → P],The volleyball team was beaten by the Cubans,after the tennis team was beaten previously,The volleyball team was beaten by the Cubans after the tennis team was beaten previously.,G,Passive,Passive,FALSE,FALSE,<NA>
17,[P → A],The guitarist was booed by the audience,after the club owner himself did earlier,The guitarist was booed by the audience after the club owner himself did earlier.,A,Passive,Active,TRUE,TRUE,Active
,[A → P],The audience booed the guitarist,after the lead singer herself was earlier,The audience booed the guitarist after the lead singer herself was earlier.,B,Active,Passive,TRUE,TRUE,Passive
,[A → A],The audience booed the guitarist,after the club owner himself did earlier,The audience booed the guitarist after the club owner himself did earlier.,C,Active,Active,TRUE,FALSE,Active
,[P → P],The guitarist was booed by the audience,after the lead singer herself was earlier,The guitarist was booed by the audience after the lead singer herself was earlier.,D,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The guitarist was booed by the audience,after the club owner himself booed her earlier,The guitarist was booed by the audience after the club owner himself booed her earlier.,E,Passive,Active,FALSE,TRUE,<NA>
,[A → P],The audience booed the guitarist,after the lead singer herself was booed earlier,The audience booed the guitarist after the lead singer herself was booed earlier.,F,Active,Passive,FALSE,TRUE,<NA>
,[A → A],The audience booed the guitarist,after the club owner himself booed her earlier,The audience booed the guitarist after the club owner himself booed her earlier.,G,Active,Active,FALSE,FALSE,<NA>
,[P → P],The guitarist was booed by the audience,after the lead singer herself was booed earlier,The guitarist was booed by the audience after the lead singer herself was booed earlier.,H,Passive,Passive,FALSE,FALSE,<NA>
18,[P → A],The table was criticized by the seller,after the buyer did already,The table was criticized by the seller after the buyer did already.,B,Passive,Active,TRUE,TRUE,Active
,[A → P],The seller criticized the table,after the chairs were already,The seller criticized the table after the chairs were already.,C,Active,Passive,TRUE,TRUE,Passive
,[A → A],The seller criticized the table,after the buyer did already,The seller criticized the table after the buyer did already.,D,Active,Active,TRUE,FALSE,Active
,[P → P],The table was criticized by the seller,after the chairs were already,The table was criticized by the seller after the chairs were already.,E,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The table was criticized by the seller,after the buyer criticized it already,The table was criticized by the seller after the buyer criticized it already.,F,Passive,Active,FALSE,TRUE,<NA>
,[A → P],The seller criticized the table,after the chairs were criticized already,The seller criticized the table after the chairs were criticized already.,G,Active,Passive,FALSE,TRUE,<NA>
,[A → A],The seller criticized the table,after the buyer criticized it already,The seller criticized the table after the buyer criticized it already.,H,Active,Active,FALSE,FALSE,<NA>
,[P → P],The table was criticized by the seller,after the chairs were criticized already,The table was criticized by the seller after the chairs were criticized already.,A,Passive,Passive,FALSE,FALSE,<NA>
19,[P → A],The dessert was praised by the customer,after the critic did already,The dessert was praised by the customer after the critic did already.,C,Passive,Active,TRUE,TRUE,Active
,[A → P],The customer praised the dessert,after the appetizer was already,The customer praised the dessert after the appetizer was already.,D,Active,Passive,TRUE,TRUE,Passive
,[A → A],The customer praised the dessert,after the critic did already,The customer praised the dessert after the critic did already.,E,Active,Active,TRUE,FALSE,Active
,[P → P],The dessert was praised by the customer,after the appetizer was already,The dessert was praised by the customer after the appetizer was already.,F,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The dessert was praised by the customer,after the critic praised it already,The dessert was praised by the customer after the critic praised it already.,G,Passive,Active,FALSE,TRUE,<NA>
,[A → P],The customer praised the dessert,after the appetizer was praised already,The customer praised the dessert after the appetizer was praised already.,H,Active,Passive,FALSE,TRUE,<NA>
,[A → A],The customer praised the dessert,after the critic praised it already,The customer praised the dessert after the critic praised it already.,A,Active,Active,FALSE,FALSE,<NA>
,[P → P],The dessert was praised by the customer,after the appetizer was praised already,The dessert was praised by the customer after the appetizer was praised already.,B,Passive,Passive,FALSE,FALSE,<NA>
20,[P → A],The house was photographed by Jill,after Sally did previously,The house was photographed by Jill after Sally did previously.,D,Passive,Active,TRUE,TRUE,Active
,[A → P],Jill photographed the house,after the garage was previously,Jill photographed the house after the garage was previously.,E,Active,Passive,TRUE,TRUE,Passive
,[A → A],Jill photographed the house,after Sally did previously,Jill photographed the house after Sally did previously.,F,Active,Active,TRUE,FALSE,Active
,[P → P],The house was photographed by Jill,after the garage was previously,The house was photographed by Jill after the garage was previously.,G,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The house was photographed by Jill,after Sally photographed it previously,The house was photographed by Jill after Sally photographed it previously.,H,Passive,Active,FALSE,TRUE,<NA>
,[A → P],Jill photographed the house,after the garage was photographed previously,Jill photographed the house after the garage was photographed previously.,A,Active,Passive,FALSE,TRUE,<NA>
,[A → A],Jill photographed the house,after Sally photographed it previously,Jill photographed the house after Sally photographed it previously.,B,Active,Active,FALSE,FALSE,<NA>
,[P → P],The house was photographed by Jill,after the garage was photographed previously,The house was photographed by Jill after the garage was photographed previously.,C,Passive,Passive,FALSE,FALSE,<NA>
21,[P → A],The 400 meter record was broken by Phelps,after Thorpe did previously,The 400 meter record was broken by Phelps after Thorpe did previously.,E,Passive,Active,TRUE,TRUE,Active
,[A → P],Phelps broke the 400 meter record,after the 200 meter one was previously,Phelps broke the 400 meter record after the 200 meter one was previously.,F,Active,Passive,TRUE,TRUE,Passive
,[A → A],Phelps broke the 400 meter record,after Thorpe did previously,Phelps broke the 400 meter record after Thorpe did previously.,G,Active,Active,TRUE,FALSE,Active
,[P → P],The 400 meter record was broken by Phelps,after the 200 meter one was previously,The 400 meter record was broken by Phelps after the 200 meter one was previously.,H,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The 400 meter record was broken by Phelps,after Thorpe broke it previously,The 400 meter record was broken by Phelps after Thorpe broke it previously.,A,Passive,Active,FALSE,TRUE,<NA>
,[A → P],Phelps broke the 400 meter record,after the 200 meter one was broken previously,Phelps broke the 400 meter record after the 200 meter one was borken previously.,B,Active,Passive,FALSE,TRUE,<NA>
,[A → A],Phelps broke the 400 meter record,after Thorpe broke it previously,Phelps broke the 400 meter record after Thorpe broke it previously.,C,Active,Active,FALSE,FALSE,<NA>
,[P → P],The 400 meter record was broken by Phelps,after the 200 meter one was broken previously,The 400 meter record was broken by Phelps after the 200 meter one was borken previously.,D,Passive,Passive,FALSE,FALSE,<NA>
22,[P → A],The secret recipe was revealed by Kate,after Sandra did already,The secret recipe was revealed by Kate after Sandra did already.,F,Passive,Active,TRUE,TRUE,Active
,[A → P],Kate revealed the secret recipe,after the chef’s private notes were already,Kate revealed the secret recipe after the chef’s private notes were already.,G,Active,Passive,TRUE,TRUE,Passive
,[A → A],Kate revealed the secret recipe,after Sandra did already,Kate revealed the secret recipe after Sandra did already.,H,Active,Active,TRUE,FALSE,Active
,[P → P],The secret recipe was revealed by Kate,after the chef’s private notes were already,The secret recipe was revealed by Kate after the chef’s private notes were already.,A,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The secret recipe was revealed by Kate,after Sandra realed it already,The secret recipe was revealed by Kate after Sandra realed it already.,B,Passive,Active,FALSE,TRUE,<NA>
,[A → P],Kate revealed the secret recipe,after the chef’s private notes were revealed already,Kate revealed the secret recipe after the chef’s private notes were revealed already.,C,Active,Passive,FALSE,TRUE,<NA>
,[A → A],Kate revealed the secret recipe,after Sandra realed it already,Kate revealed the secret recipe after Sandra realed it already.,D,Active,Active,FALSE,FALSE,<NA>
,[P → P],The secret recipe was revealed by Kate,after the chef’s private notes were revealed already,The secret recipe was revealed by Kate after the chef’s private notes were revealed already.,E,Passive,Passive,FALSE,FALSE,<NA>
23,[P → A],The library was called by the department head,after the department secretary did previously,The library was called by the department head after the department secretary did previously.,G,Passive,Active,TRUE,TRUE,Active
,[A → P],The department head called the library,after the records office was previously,The department head called the library after the records office was previously.,H,Active,Passive,TRUE,TRUE,Passive
,[A → A],The department head called the library,after the department secretary did previously,The department head called the library after the department secretary did previously.,A,Active,Active,TRUE,FALSE,Active
,[P → P],The library was called by the department head,after the records office was previously,The library was called by the department head after the records office was previously.,B,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The library was called by the department head,after the department secretary called it previously,The library was called by the department head after the department secretary colled it previously.,C,Passive,Active,FALSE,TRUE,<NA>
,[A → P],The department head called the library,after the records office was called previously,The department head called the library after the records office was called previously.,D,Active,Passive,FALSE,TRUE,<NA>
,[A → A],The department head called the library,after the department secretary called it previously,The department head called the library after the department secretary colled it previously.,E,Active,Active,FALSE,FALSE,<NA>
,[P → P],The library was called by the department head,after the records office was called previously,The library was called by the department head after the records office was called previously.,F,Passive,Passive,FALSE,FALSE,<NA>
24,[P → A],The local writers were criticized by Tom,after the professor did already,The local writers were criticized by Tom after the professor did already.,H,Passive,Active,TRUE,TRUE,Active
,[A → P],Tom criticized the local writers,after the local paper was already,Tom criticized the local writers after the local paper was already.,A,Active,Passive,TRUE,TRUE,Passive
,[A → A],Tom criticized the local writers,after the professor did already,Tom criticized the local writers after the professor did already.,B,Active,Active,TRUE,FALSE,Active
,[P → P],The local writers were criticized by Tom,after the local paper was already,The local writers were criticized by Tom after the local paper was already.,C,Passive,Passive,TRUE,FALSE,Passive
,[P → A],The local writers were criticized by Tom,after the professor critized them already,The local writers were criticized by Tom after the professor critized them already.,D,Passive,Active,FALSE,TRUE,<NA>
,[A → P],Tom criticized the local writers,after the local paper was criticized already,Tom criticized the local writers after the local paper was criticized already.,E,Active,Passive,FALSE,TRUE,<NA>
,[A → A],Tom criticized the local writers,after the professor critized them already,Tom criticized the local writers after the professor critized them already.,F,Active,Active,FALSE,FALSE,<NA>
,[P → P],The local writers were criticized by Tom,after the local paper was criticized already,The local writers were criticized by Tom after the local paper was criticized already.,G,Passive,Passive,FALSE,FALSE,<NA>
